environment,meter,cost_usd,matched_rule,price_low,price_high,gb_month_low,gb_month_high
DEV,Hot LRS Data Stored,0.399813290604,hot lrs data stored,0.015,0.024,16.6588871085,26.6542193736
DEV,LRS Data Stored,0.381146605056,lrs data stored,0.015,0.024,15.881108544,25.4097736704
HUB,Hot LRS Data Stored,339.768496830672,hot lrs data stored,0.015,0.024,14157.020701278,22651.2331220448
HUB,Snapshots LRS Snapshots,57.383929323000004,snapshots.*snapshots,0.03,0.08,717.2991165375,1912.7976441000003
HUB,Snapshots ZRS Snapshots,22.153378338,snapshots.*snapshots,0.03,0.08,276.91722922499997,738.4459446
HUB,LRS Data Stored,0.0024889032000000003,lrs data stored,0.015,0.024,0.10370430000000001,0.16592688000000003
PROD,Snapshots ZRS Snapshots,1571.358999483,snapshots.*snapshots,0.03,0.08,19641.987493537497,52378.6333161
PROD,Hot RA-GRS Data Stored,629.215636237902,hot ra-grs data stored,0.035,0.06,10486.9272706317,17977.5896067972
PROD,Hot GRS Data Stored,329.232604781556,hot grs data stored,0.03,0.05,6584.65209563112,10974.420159385201
PROD,Cool RA-GRS Data Stored,315.0481239675,cool ra-grs data stored,0.018,0.035,9001.3749705,17502.67355375
PROD,GRS Data Stored,172.479345696,grs data stored,0.03,0.05,3449.58691392,5749.3115232
PROD,Snapshots LRS Snapshots,138.417117426,snapshots.*snapshots,0.03,0.08,1730.213967825,4613.9039142
PROD,Hot LRS Data Stored,128.351809910268,hot lrs data stored,0.015,0.024,5347.9920795945,8556.787327351201
PROD,LRS Data Stored,8.7119361756,lrs data stored,0.015,0.024,362.99734065,580.79574504
PROD,Cool LRS Data Stored,0.4361486472,cool lrs data stored,0.008,0.015,29.076576480000003,54.5185809
PROD,RA-GRS Data Stored,3.07125e-05,grs data stored,0.03,0.05,0.00061425,0.0010237500000000001
QA,Snapshots ZRS Snapshots,776.748111615,snapshots.*snapshots,0.03,0.08,9709.3513951875,25891.6037205
QA,Premium LRS Data Stored,172.06336224,lrs data stored,0.015,0.024,7169.30676,11470.890816000001
QA,Hot LRS Data Stored,91.00514977545599,hot lrs data stored,0.015,0.024,3791.8812406439997,6067.0099850304
QA,LRS Data Stored,26.471550542976,lrs data stored,0.015,0.024,1102.981272624,1764.7700361984
QA,Hot GRS Data Stored,9.94936518576,hot grs data stored,0.03,0.05,198.98730371519997,331.645506192
